,Titre,Entreprise,Localisation,Lien,Compétences,mapped_role
26,Software Engineer,Flourish Health,"Sahara occidental, Maroc",https://ma.linkedin.com/jobs/view/software-engineer-at-flourish-health-4264209822?position=7&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=2GXp2sMtVI31M54U03FKow%3D%3D,react,software engineer
27,Senior Python Fullstack Engineer,Intetics,Maroc,https://ma.linkedin.com/jobs/view/senior-python-fullstack-engineer-at-intetics-4281922437?position=8&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=cTR5EITen7Tp10SmKVwXlA%3D%3D,"django, linux, mysql, python, react, snowflake, typescript",web developer
28,Expert Data analyst,BROME Consulting & Technology,Casablanca,https://ma.linkedin.com/jobs/view/expert-data-analyst-at-brome-consulting-technology-4200182778?position=9&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=rK1vZvfxB9R4rTOc5q%2Bo4Q%3D%3D,"matplotlib, power bi, seaborn, tableau",data analyst
29,Tech Lead Data Engineer (expert GCP),LINCOLN,Casablanca,https://ma.linkedin.com/jobs/view/tech-lead-data-engineer-expert-gcp-at-lincoln-france-4043972694?position=10&pageNum=5&refId=3DGLNlDqbGD0USwVRfJ2Mw%3D%3D&trackingId=J1p3vk4gKMcSVNTgmFDM%2FA%3D%3D,"agile, bigquery, ci/cd, dbt, etl, gcp, git, gitlab, linux, scrum, sql",data engineer
30,Senior Software Engineer,Capgemini,Casablanca,https://ma.linkedin.com/jobs/view/senior-software-engineer-at-capgemini-4062800143?position=1&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=EDxeyNjTJ2Zoc%2BxSNWTlLA%3D%3D,"agile, angular, java, react",software engineer
31,Consulting Data Manager Maroc,VIVADATA,Casablanca,https://ma.linkedin.com/jobs/view/consulting-data-manager-maroc-at-vivadata-4278834619?position=2&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=Zw3uclmAIjyUO4o0w39RJQ%3D%3D,agile,autre
32,Data Engineer - Senior,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/data-engineer-senior-at-lumenalta-4280966112?position=3&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=2dGoIqN1MPPKEKSKRIxcIQ%3D%3D,"agile, airflow, aws, ci/cd, etl, gcp, java, kafka, python, sql",data engineer
33,Frontend Engineer – Tracking & Data Layer Implementation,iMedia24 GmbH,Maroc,https://ma.linkedin.com/jobs/view/frontend-engineer-%E2%80%93-tracking-data-layer-implementation-at-imedia24-gmbh-4266530781?position=4&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=30VMbzFrJI%2BG49UFRhxJDw%3D%3D,"angular, css, html, javascript, react, typescript",data engineer
34,Data Engineer Confirmé – Écosystème Microsoft Fabric,Inetum,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-confirm%C3%A9-%E2%80%93-%C3%A9cosyst%C3%A8me-microsoft-fabric-at-inetum-4267244628?position=5&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=zRVh%2FS6J%2F5Pmu3DgkXFHKg%3D%3D,"power bi, python, spark, sql",data engineer
35,Data Analyst senior (expert GCP et Power BI) -H/F,LINCOLN,Casablanca,https://ma.linkedin.com/jobs/view/data-analyst-senior-expert-gcp-et-power-bi-h-f-at-lincoln-france-4232764476?position=6&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=xFoXt%2BTfndAHhPAV1v2FNw%3D%3D,"agile, bigquery, gcp, google cloud, power bi, scrum, sql",data analyst
36,Data Scientist & AI Engineer,ALTEN MAROC,Fès,https://ma.linkedin.com/jobs/view/data-scientist-ai-engineer-at-alten-maroc-4279807702?position=7&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=ySGLgRdixD5LrfExUgVzng%3D%3D,"deep learning, machine learning, matplotlib, pandas, plotly, power bi, python, pytorch, scikit-learn, tensorflow",data scientist
37,Data Analyst - Sénior,ALTEN,Rabat,https://ma.linkedin.com/jobs/view/data-analyst-s%C3%A9nior-at-alten-4271585749?position=8&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=TU0EOL3ZhPeBJ9zxo4taQg%3D%3D,"agile, bigquery, ci/cd, dbt, gitlab, looker, mongodb, nosql, postgresql, python, scrum, sql",data analyst
38,Quant Analyst / Quant Developer / Data Scientist: Graduate Programme 2025,Phi Partners,Casablanca,https://ma.linkedin.com/jobs/view/quant-analyst-quant-developer-data-scientist-graduate-programme-2025-at-phi-partners-4180620268?position=9&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=fF%2FnnlpdMhmpY16MRVIKHg%3D%3D,"design patterns, python, sql",data scientist
39,Consulting Data Manager Maroc,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/consulting-data-manager-maroc-at-artefact-4127592008?position=10&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=1m8FnptUuUE%2F3YwXZ1r74g%3D%3D,agile,autre
40,Full Stack Software Engineer,WaystoCap,Casablanca,https://ma.linkedin.com/jobs/view/full-stack-software-engineer-at-waystocap-4119520877?position=1&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=WdKyzYdjkj%2Bu3Fp%2FYjUD6Q%3D%3D,"agile, ci/cd, graphql, java, javascript, next.js, nosql",web developer
41,Senior Power BI Developer,AXA Global Business Services (AXA GBS),Rabat,https://ma.linkedin.com/jobs/view/senior-power-bi-developer-at-axa-global-business-services-axa-gbs-4273599825?position=2&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=SmQmhoB9j6jacAdU4haX2A%3D%3D,"agile, etl, excel, power bi, sql",data analyst
42,Senior Big Data Engineer,Leyton CognitX,Casablanca,https://ma.linkedin.com/jobs/view/senior-big-data-engineer-at-leyton-cognitx-4274090061?position=3&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=glU%2FaHPY5Er0w6n%2FHFEYsw%3D%3D,"airflow, angular, docker, elasticsearch, kafka, mongodb, python, react, spark, sql, vue.js",data engineer
43,.NET Software Engineer,Myfactory,Casablanca,https://ma.linkedin.com/jobs/view/net-software-engineer-at-myfactory-international-gmbh-4275441663?position=4&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=w3OSej8pYexdQXAjpm3K8g%3D%3D,"azure, c#, design patterns, git, sql",software engineer
44,Développeur & Analyst Power BI,SQLI,Rabat,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-analyst-power-bi-at-sqli-4270305935?position=5&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=59%2FNXt7bXut8qeMc0jkekA%3D%3D,"agile, etl, gcp, power bi, sql",data analyst
45,Senior software engineer,Effyis Group,Casablanca,https://ma.linkedin.com/jobs/view/senior-software-engineer-at-effyis-group-4282136212?position=6&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=cnpA%2B6TDLrWPOL2eF9rbnQ%3D%3D,"agile, java, microservices, postgresql, spring boot",software engineer
46,Senior Data Consultant,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/senior-data-consultant-at-artefact-3776222664?position=7&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=OiGlaOC%2BoxPs%2FdjhQzIsCQ%3D%3D,,autre
47,Software Engineer - X Delivery,Boston Consulting Group (BCG),Casablanca,https://ma.linkedin.com/jobs/view/software-engineer-x-delivery-at-boston-consulting-group-bcg-4205210893?position=8&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=zelx12FcoxRoqo9%2FqEI2mA%3D%3D,"agile, angular, aws, azure, c#, ci/cd, design patterns, django, docker, flask, gcp, git, java, javascript, kubernetes, microservices, mongodb, nosql, python, react, spark, sql, terraform, typescript",software engineer
48,AD Software Engineer - Senior H/F,Stellantis,Casablanca,https://ma.linkedin.com/jobs/view/ad-software-engineer-senior-h-f-at-stellantis-3543041874?position=9&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=wEihT55%2BsI1%2FMcBTuL4DIQ%3D%3D,"agile, c++, git, github, linux, python",software engineer
49,.NET Software Engineer,Abas Ibérica,Casablanca,https://ma.linkedin.com/jobs/view/net-software-engineer-at-abas-ib%C3%A9rica-4271988847?position=10&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=hON3iRtyj4N2VtvP2WI%2FDQ%3D%3D,"agile, c#, css, html, javascript, sql",software engineer
