,Titre,Entreprise,Localisation,Lien,Compétences,mapped_role
144,Cloud Support Engineer,Arrow Components,Casablanca,https://ma.linkedin.com/jobs/view/cloud-support-engineer-at-arrow-components-4279416523?position=10&pageNum=12&refId=nnJMZFKr2luf6j2vrz5%2FeQ%3D%3D&trackingId=1JOh%2FUEm%2Fn1ZYGl0nYCWTg%3D%3D,"azure, linux",autre
145,Python Developer,BSO,Casablanca,https://ma.linkedin.com/jobs/view/python-developer-at-bso-4141497079?position=1&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=a%2FvlpvpgfLooQM9Lzuhl%2FQ%3D%3D,"css, docker, git, html, javascript, linux, python, sql",web developer
146,IT Engineer – Sage X3 & AQUIWEB MES,Expleo Group,Tanger,https://ma.linkedin.com/jobs/view/it-engineer-%E2%80%93-sage-x3-aquiweb-mes-at-expleo-group-4265234449?position=2&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=570H8duCjjs50yqGdqyj8g%3D%3D,"etl, excel, sql",autre
147,Ingénieur de production IT - (H/F),Saham Bank (Officiel),Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-de-production-it-h-f-at-saham-bank-officiel-4270176161?position=3&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=8zN5WK7eRSw%2FoDWnyUudEg%3D%3D,"oracle, postgresql, sql",autre
148,Data Engineer - Snowflake,Lumenalta,Maroc,https://ma.linkedin.com/jobs/view/data-engineer-snowflake-at-lumenalta-4279531185?position=4&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=EQeyTAaFxSOniMgd%2F8gsWw%3D%3D,"airflow, aws, dbt, python, snowflake, sql",data engineer
149,Apex Engineer,Oracle,Agadir,https://ma.linkedin.com/jobs/view/apex-engineer-at-oracle-4265173200?position=5&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=FpgSt1nm0Dpu3HZyUTFahw%3D%3D,"agile, bash, ci/cd, docker, git, gitlab, java, javascript, jenkins, kubernetes, oracle, php, python, scrum, sql, typescript",autre
150,Expert/Senior Testeur de Perf (Gatling),SQLI,Casablanca,https://ma.linkedin.com/jobs/view/expert-senior-testeur-de-perf-gatling-at-sqli-4251621439?position=6&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=pBv0kRA30MTs%2FvAjtqaRWQ%3D%3D,"azure, gcp, git, gitlab, java, javascript, kubernetes, scrum",autre
151,Data engineer -Apache NIFI,Devoteam,Casablanca,https://ma.linkedin.com/jobs/view/data-engineer-apache-nifi-at-devoteam-3628571106?position=7&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=Vcz%2FHx39Ofy8plsN%2BdID8w%3D%3D,"agile, aws, azure, bitbucket, etl, gcp, java, kafka, sql",data engineer
152,Software Developer - BW,Cnexia,Rabat,https://ma.linkedin.com/jobs/view/software-developer-bw-at-cnexia-3816681629?position=8&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=1MYfiKNTot%2BLda7fyZbeTA%3D%3D,"agile, etl, snowflake, sql",software engineer
153,Financial Data Consulting Manager,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/financial-data-consulting-manager-at-artefact-4151398128?position=9&pageNum=15&refId=%2BZiXeQPI4flrezAPeO6ePg%3D%3D&trackingId=dZccP5ioiQpW7YTEazzV5g%3D%3D,agile,autre
154,OPENSTACK CLOUD PLATFORM EXPERT,RIBATIS,Casablanca,https://ma.linkedin.com/jobs/view/openstack-cloud-platform-expert-at-ribatis-4273022132?position=1&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=eRKenjxR2cdiT%2FwwVfkIgQ%3D%3D,"git, gitlab, jenkins, linux, terraform",autre
155,WordPress Developer,Scale Army Careers,Maroc,https://ma.linkedin.com/jobs/view/wordpress-developer-at-scale-army-careers-4271032966?position=2&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=OPtao0A6AJ5yAuyWHxCECg%3D%3D,"css, html, javascript, php",autre
156,Project Technology Services Specialist,JESA S.A,Casablanca,https://ma.linkedin.com/jobs/view/project-technology-services-specialist-at-jesa-s-a-4277808044?position=3&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=VMApVOqruCEpTl1Ye79wiA%3D%3D,,autre
157,Data Engineer Expérimenté,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/data-engineer-exp%C3%A9riment%C3%A9-at-alten-maroc-4269624437?position=4&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=N%2FgbIeyJz65HCJfznB11gQ%3D%3D,"bigquery, ci/cd, dbt, gcp, git, looker, scrum",data engineer
158,Maximo Developer -Contract or Perm,Max Accelerate,Maroc,https://ma.linkedin.com/jobs/view/maximo-developer-contract-or-perm-at-max-accelerate-4242563652?position=5&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=U91wZyUrcSUJ3MWorm1Lug%3D%3D,"java, sql",autre
159,Senior AI Engineer – AI Engineering  H/F - Sala Al Jadida (Technopolis),HCLTech,Rabat,https://ma.linkedin.com/jobs/view/senior-ai-engineer-%E2%80%93-ai-engineering-h-f-sala-al-jadida-technopolis-at-hcltech-4271340531?position=6&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=dKPgVQGWLIvaYcdFtvYDFw%3D%3D,"aws, azure, generative ai, hugging face, llms, machine learning, python, pytorch",autre
160,Business Developer Finance,Attijariwafa bank,Casablanca,https://ma.linkedin.com/jobs/view/business-developer-finance-at-attijariwafa-bank-4252561062?position=7&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=YTrn%2BBTupafH9Ej61r8a5A%3D%3D,,autre
161,Senior Data Scientist - Casablanca,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/senior-data-scientist-casablanca-at-artefact-3776222663?position=8&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=zqybCXuzG6afQXPFRaJYqw%3D%3D,"agile, deep learning, generative ai, machine learning, python, spark",data scientist
162,Senior Dell Storage Engineer (Unity XT / PowerStore) - Morocco,SWATX,Casablanca,https://ma.linkedin.com/jobs/view/senior-dell-storage-engineer-unity-xt-powerstore-morocco-at-swatx-4281689706?position=9&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=gYF%2FyD1SL6KwJUD%2Fimg%2BiQ%3D%3D,,autre
163,Junior Front-End Developer,A3malouna.com,Rabat,https://ma.linkedin.com/jobs/view/junior-front-end-developer-at-a3malouna-com-4215968531?position=10&pageNum=17&refId=KQiVa7F9%2BF%2BKn5D5oSyUEw%3D%3D&trackingId=Qnq8yQJoLzblqJ4Y%2FqMxSA%3D%3D,"css, html, javascript",web developer
164,Business Analyst (Country Payroll),emagine,Tanger,https://ma.linkedin.com/jobs/view/business-analyst-country-payroll-at-emagine-4271339808?position=1&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=qy1mmCGFXRRvdqgxkDKq%2Bg%3D%3D,,data analyst
165,AD Verification Test Engineer H/F,Stellantis,Casablanca,https://ma.linkedin.com/jobs/view/ad-verification-test-engineer-h-f-at-stellantis-3543046087?position=2&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=g1SmP8uuwdse4LTHFj2mZw%3D%3D,"ci/cd, python",autre
166,Solution Developer – Digital Transformation,Société Générale,Casablanca,https://ma.linkedin.com/jobs/view/solution-developer-%E2%80%93-digital-transformation-at-societe-generale-4282319324?position=3&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=8dJ2Jv1V%2BN3jr5xEtfTxng%3D%3D,python,autre
167,Senior IT Project Engineer,JESA S.A,Casablanca,https://ma.linkedin.com/jobs/view/senior-it-project-engineer-at-jesa-s-a-4281674721?position=4&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=RRApnaH0VEVdYlvf%2BiO8XA%3D%3D,,autre
168,Ingénieur Etudes & Développement H/F,BMCE Capital,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-etudes-d%C3%A9veloppement-h-f-at-bmce-capital-4280484382?position=5&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=6Pv4UQHiNuadyc0959OKcA%3D%3D,"agile, bdd, ci/cd, docker, git, github, gitlab, java, jenkins, kubernetes, microservices, oracle, postgresql, react, scrum, spring boot, sql, tdd",autre
169,Intégrateur Web / Stagiaire,Elavi,Casablanca,https://ma.linkedin.com/jobs/view/int%C3%A9grateur-web-stagiaire-at-elavi-4281626296?position=6&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=VOQpwYn1zIleCY6mIhfbVQ%3D%3D,"css, html, javascript",autre
170,Data Engineer Sénior Spark Scala,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/data-engineer-s%C3%A9nior-spark-scala-at-alten-maroc-4280566977?position=7&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=tvDqj27WJs%2FVW04bJDB9Nw%3D%3D,"agile, aws, bigquery, ci/cd, docker, gcp, gitlab, java, kafka, kubernetes, linux, microservices, scrum, spark, sql",data engineer
171,Ingénieur tests et validation (Rabat - Secteur Télécommunications),MAROC FER,Rabat,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-tests-et-validation-rabat-secteur-t%C3%A9l%C3%A9communications-at-maroc-fer-4267544143?position=8&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=Y%2BGmlqOL%2FpRIvI7dGFqU%2BA%3D%3D,,autre
172,Ingénieur tests et validation (Secteur Télécommunications),Inetum,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-tests-et-validation-secteur-t%C3%A9l%C3%A9communications-at-inetum-4245570822?position=9&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=GXebRpI3UQcMFVIWBb2Rnw%3D%3D,,autre
173,Integration Engineer (H/F),Sofrecom Maroc,Casablanca,https://ma.linkedin.com/jobs/view/integration-engineer-h-f-at-sofrecom-maroc-4281652168?position=10&pageNum=20&refId=5IzSyGguqR%2BfbQ%2B28%2FAAKA%3D%3D&trackingId=axkynh2DWJC%2F62xq0eaVVg%3D%3D,"agile, ci/cd, git, gitlab, kubernetes, linux, python, shell scripting",autre
174,CONSULTANT TALEND CONFIRME,RED TIC,Casablanca,https://ma.linkedin.com/jobs/view/consultant-talend-confirme-at-red-tic-4276977782?position=2&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=Cbxvo6sSedtE6HpufnCe0w%3D%3D,"ci/cd, docker, etl, git, java, kubernetes, sql",autre
175,Ingénieur_Validation_EES,Expleo Group,Tanger,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-validation-ees-at-expleo-group-4242873510?position=3&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=x0qqhmDJ8pS%2F9Tt277VkMw%3D%3D,python,autre
176,Senior Data Scientist - Casablanca,Artefact,Casablanca,https://ma.linkedin.com/jobs/view/senior-data-scientist-casablanca-at-artefact-4279613468?position=4&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=8kJYNZfzbT%2FBgj%2BESFF6eg%3D%3D,"agile, deep learning, generative ai, machine learning, python, spark",data scientist
177,Ingénieur étude et développement ProC,Nexpublica,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-%C3%A9tude-et-d%C3%A9veloppement-proc-at-nexpublica-4270716315?position=6&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=uc3RWMNw7uHWEDZM6Eszhw%3D%3D,"agile, gitlab, java, linux, oracle, scrum, sql",autre
178,Software Engineer Python / DevOps,Coface,Casablanca,https://ma.linkedin.com/jobs/view/software-engineer-python-devops-at-coface-4280120103?position=7&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=3rkzccPPVLfiSE90YAJ8XQ%3D%3D,"airflow, angular, ci/cd, docker, elasticsearch, java, kubernetes, linux, mongodb, nosql, pandas, python, react, redis, sql, vue.js",software engineer
179,ECS EMEA - Business Transformation Analyst,Arrow Electronics,Casablanca,https://ma.linkedin.com/jobs/view/ecs-emea-business-transformation-analyst-at-arrow-electronics-4274882496?position=8&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=DmFRYYRwQTo%2FUlicM44f5g%3D%3D,agile,data analyst
180,Lead developer,AXONE,Casablanca,https://ma.linkedin.com/jobs/view/lead-developer-at-axone-4282636252?position=9&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=aaJ25PTDOwPlEVgBfMq0tA%3D%3D,,autre
181,Ingénieur infrastructure/Ingénieure infrastructure,ALTEN MAROC,Rabat,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-infrastructure-ing%C3%A9nieure-infrastructure-at-alten-maroc-4270695941?position=10&pageNum=22&refId=a52hu0eWA2NBwDgbTX7%2BWQ%3D%3D&trackingId=T2DSyL3K2hBhDIBnubBo7w%3D%3D,"bash, ci/cd, gcp, gitlab, jenkins, kubernetes, linux, python, scrum, sql",autre
182,Ingénieur poste de travail N3,Inetum,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-poste-de-travail-n3-at-inetum-4278640138?position=1&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=KPLTn4tnISPNn%2FeJX99HMA%3D%3D,agile,autre
183,ECS EMEA - Business Transformation Analyst,Arrow Electronics,Casablanca,https://ma.linkedin.com/jobs/view/ecs-emea-business-transformation-analyst-at-arrow-electronics-4280419466?position=2&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=VfuiifRT8vlurAWtEA%2B1Dw%3D%3D,,data analyst
184,Digital Business Analyst - PDS,JESA S.A,Casablanca,https://ma.linkedin.com/jobs/view/digital-business-analyst-pds-at-jesa-s-a-4274238992?position=3&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=iRYFpqMzwfqp%2BcsgQdRZUQ%3D%3D,,data analyst
185,Ingénieur Cloud Ops/ DevOps,Société Générale,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-cloud-ops-devops-at-societe-generale-4262970034?position=4&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=P1BRTR6MPrhX3U9baiMP7A%3D%3D,"agile, azure, ci/cd, docker, git, github, kubernetes, microservices, terraform",autre
186,Concepteur Développeur Python (H/F) - Rabat,Sofrecom Maroc,Rabat,https://ma.linkedin.com/jobs/view/concepteur-d%C3%A9veloppeur-python-h-f-rabat-at-sofrecom-maroc-4277825928?position=5&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=7WPVlbVlM5Rh4e5XPa7hUQ%3D%3D,"power bi, python",web developer
187,Senior Programmatic Analyst (Morocco office location),Publicis Global Delivery (PGD),Casablanca,https://ma.linkedin.com/jobs/view/senior-programmatic-analyst-morocco-office-location-at-publicis-global-delivery-pgd-4264138994?position=6&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=AnI%2BQJKbclTcn1LqsOrWfw%3D%3D,,data analyst
188,Référent Technique,Berger-Levrault,Rabat,https://ma.linkedin.com/jobs/view/r%C3%A9f%C3%A9rent-technique-at-berger-levrault-4219862537?position=7&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=iy9QrFFdKmi7WtAIf3qKUA%3D%3D,"agile, angular, ci/cd, docker, gitlab, java, kubernetes, python, scrum",autre
189,Senior Applications Engineer - Fintech,Oracle,Casablanca,https://ma.linkedin.com/jobs/view/senior-applications-engineer-fintech-at-oracle-4236016847?position=8&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=%2FG3pll%2FlOHYTVfMYRq9Zzg%3D%3D,"agile, angular, aws, azure, docker, java, kubernetes, oracle, react",autre
190,Senior ServiceNow (H/F) – CDI,Atos,Casablanca,https://ma.linkedin.com/jobs/view/senior-servicenow-h-f-%E2%80%93-cdi-at-atos-4279876523?position=9&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=Ep64RbpGiffZBDLDRV3ZaA%3D%3D,"agile, javascript",autre
191,Requirement engineer - garmanophone,ALTEN,Rabat,https://ma.linkedin.com/jobs/view/requirement-engineer-garmanophone-at-alten-4270273717?position=10&pageNum=25&refId=sD5HYQ9sha3Tpkgwvnz46g%3D%3D&trackingId=c9Ry2jbgloASRQk1pAA1CQ%3D%3D,,autre
192,ECS EMEA - Business Transformation Analyst,Arrow Electronics,Casablanca,https://ma.linkedin.com/jobs/view/ecs-emea-business-transformation-analyst-at-arrow-electronics-4274935440?position=1&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=vrWEjcv%2ByBzm4dhqU3ZEQg%3D%3D,,data analyst
193,Ingénieur étude et développement,Groupe SII,Oujda,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-%C3%A9tude-et-d%C3%A9veloppement-at-groupe-sii-3928973303?position=2&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=Wnknd%2BtCaQwitB7eF1OfLQ%3D%3D,"azure, c#, git, oracle, scrum, sql",autre
194,ECS EMEA - Business transformation analyst,Arrow Electronics,Casablanca,https://ma.linkedin.com/jobs/view/ecs-emea-business-transformation-analyst-at-arrow-electronics-4273213884?position=3&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=aXKn6z4XFegnfBXCD%2FXXWA%3D%3D,"agile, r",data analyst
195,Software Controls Engineer,AVL,Rabat,https://ma.linkedin.com/jobs/view/software-controls-engineer-at-avl-4270994926?position=4&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=ZxKyF1iJFbCBXA89rULIBg%3D%3D,,software engineer
196,Ingénieur Systèmes Windows Confirmé,GEC _ Global Experts Consulting,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-syst%C3%A8mes-windows-confirm%C3%A9-at-gec-global-experts-consulting-4271099518?position=5&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=b1Yvf4Y42sG4zwB8isCrMA%3D%3D,,autre
197,Tech Lead Shopify F/H,VISEO,Casablanca,https://ma.linkedin.com/jobs/view/tech-lead-shopify-f-h-at-viseo-4135282547?position=6&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=rMvV5zomZGyoOKGEFI5R0A%3D%3D,"git, graphql",autre
198,Senior Applications Engineer - Fintech,Oracle,Casablanca,https://ma.linkedin.com/jobs/view/senior-applications-engineer-fintech-at-oracle-4236015813?position=7&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=J7O%2Fyv5gMS0fdmrKl6%2Bg1g%3D%3D,"agile, angular, aws, azure, docker, java, kubernetes, oracle, react",autre
199,Junior Android Engineer,Yassir,Casablanca,https://ma.linkedin.com/jobs/view/junior-android-engineer-at-yassir-3711699327?position=8&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=ArNUL0Vcl8wAlDd%2BScfflA%3D%3D,"docker, git, kubernetes, redis",autre
200,WinDev Junior Developer - Marrakech (m/f),BDO Luxembourg,Marrakech,https://ma.linkedin.com/jobs/view/windev-junior-developer-marrakech-m-f-at-bdo-luxembourg-4233375369?position=9&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=Gfb1DnLJYoC1Va4X4kJJ1A%3D%3D,"angular, c#",autre
201,Senior Financial Analyst,Arrow Components,Casablanca,https://ma.linkedin.com/jobs/view/senior-financial-analyst-at-arrow-components-4280933773?position=10&pageNum=27&refId=OOMO%2FLcWyBhCRJYkWmHnVA%3D%3D&trackingId=nAwMWtww8LHTfojq2YQ8Xg%3D%3D,"excel, power bi",data analyst
202,Data Scientist & AI Engineer,ALTEN MAROC,Fès,https://ma.linkedin.com/jobs/view/data-scientist-ai-engineer-at-alten-maroc-4279807702?position=1&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=n6AoNOokQ7xXzvyHmg9p6g%3D%3D,"deep learning, machine learning, matplotlib, pandas, plotly, power bi, python, pytorch, scikit-learn, tensorflow",data scientist
203,Data Product Owner / Consultant Fonctionnel,Inetum,Casablanca,https://ma.linkedin.com/jobs/view/data-product-owner-consultant-fonctionnel-at-inetum-4249061929?position=2&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=UurbB8HSagSrIW%2FU0xTX8w%3D%3D,agile,autre
204,"Ingénieur Talend ""Build""",Smile,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-talend-build-at-smile-4211741647?position=3&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=HIFW5RUnujSBlgyFeXFGCg%3D%3D,"docker, etl, git, gitlab, kubernetes",autre
205,Quality Analyst - Helpdesk (Spanish),HCLTech,Rabat,https://ma.linkedin.com/jobs/view/quality-analyst-helpdesk-spanish-at-hcltech-4267695580?position=4&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=UAkX5b%2BMs1VTAQpCL78YZw%3D%3D,excel,data analyst
206,CDA Technical Architect for Pan Africa (Morocco),Cisco,Casablanca,https://ma.linkedin.com/jobs/view/cda-technical-architect-for-pan-africa-morocco-at-cisco-4263434864?position=5&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=IL0JAWqnXLwl4ErBxsfiKQ%3D%3D,,autre
207,Ingénieur QA & Automatisation,SQLI,Rabat,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-qa-automatisation-at-sqli-4280233679?position=6&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=CFmeFIuHK4%2Ba27RkdBJr2w%3D%3D,"java, python",autre
208,DEVELOPPEUR DEVOPS POWER PLATFORM,RED TIC,Casablanca,https://ma.linkedin.com/jobs/view/developpeur-devops-power-platform-at-red-tic-4279602594?position=7&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=9717PKtS7Vr1CFCilJ9n0Q%3D%3D,"azure, ci/cd, git, java, power bi",autre
209,Ingénieur SI & Digitalisation F/H - SAFRAN AIRCRAFT ENGINES SERVICES MOROCCO,AEROCONTACT,Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-si-digitalisation-f-h-safran-aircraft-engines-services-morocco-at-aerocontact-4278344213?position=8&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=CBgDNhSTcmu1Nn%2BN%2FOvCUg%3D%3D,,autre
210,Business Transformation/Analyst,Arrow Components,Casablanca,https://ma.linkedin.com/jobs/view/business-transformation-analyst-at-arrow-components-4280932846?position=9&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=pXUiHFavM1UP%2BUpCERY81Q%3D%3D,agile,data analyst
211,IT Business Analyst – Finance de Marché,Société Générale,Casablanca,https://ma.linkedin.com/jobs/view/it-business-analyst-%E2%80%93-finance-de-march%C3%A9-at-societe-generale-4218726144?position=10&pageNum=30&refId=9kPVy0m6t%2F5Qc6BNuwqC%2Fw%3D%3D&trackingId=hNPiym6FfQxy%2B27rwLwb1g%3D%3D,"agile, azure, scrum, sql",data analyst
212,Ingénieur SysOps Linux N1/N2 - H/F,"Alter Way, a Smile Group Company",Casablanca,https://ma.linkedin.com/jobs/view/ing%C3%A9nieur-sysops-linux-n1-n2-h-f-at-alter-way-4254104197?position=1&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=4U%2F0wQnj9%2FzG7TbbT94QrQ%3D%3D,"aws, bdd, elasticsearch, git, linux, mysql, nosql, postgresql, redis, terraform",autre
213,Consultant JAVA /Angular Anglophone,DXC Technology Morocco,Rabat,https://ma.linkedin.com/jobs/view/consultant-java-angular-anglophone-at-dxc-technology-morocco-4270734882?position=2&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=UpIrH1LO36OlbeF7kDTNYQ%3D%3D,"aws, git, html, java, javascript, mongodb, nosql, rest api, scrum, spring boot, sql, typescript",autre
214,DevOps Engineer,Apside,Casablanca,https://ma.linkedin.com/jobs/view/devops-engineer-at-apside-4268537178?position=3&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=L%2BliUBZGsSOykq9ibSJaag%3D%3D,"aws, azure, bash, ci/cd, docker, gcp, github, gitlab, jenkins, kubernetes, linux, nosql, python, sql, terraform",autre
215,Responsable Marketing Data Scientist,Maroc Telecom,Rabat,https://ma.linkedin.com/jobs/view/responsable-marketing-data-scientist-at-maroc-telecom-4265168206?position=4&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=9u3IuIYSfk37lxnGBXdDXQ%3D%3D,"machine learning, power bi, python, sql",data scientist
216,Quality Analyst (Customer Field Engineer),TE Connectivity,Tanger,https://ma.linkedin.com/jobs/view/quality-analyst-customer-field-engineer-at-te-connectivity-4217416300?position=5&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=RPpkM4WuKXTol75LBtJYmA%3D%3D,,data analyst
217,Développeur(se) Oracle APEX | Oracle APEX Developer,Talan - Americas,Casablanca,https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-se-oracle-apex-oracle-apex-developer-at-talan-americas-4281818114?position=6&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=%2BuKvK7PlhdzhI0QhnVT7Qg%3D%3D,"css, html, javascript, oracle, sql",autre
218,Business Transformation/Analyst,Arrow Electronics,Casablanca,https://ma.linkedin.com/jobs/view/business-transformation-analyst-at-arrow-electronics-4277236212?position=7&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=b9dVz9BixL9iewPV1L9KsA%3D%3D,agile,data analyst
219,QA Automaticien H/F,Renault Digital Maroc,Casablanca,https://ma.linkedin.com/jobs/view/qa-automaticien-h-f-at-renault-digital-maroc-4264610885?position=8&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=cgCMXwdqmmL%2FXHgLRtyyRw%3D%3D,"agile, ci/cd, gitlab, microservices, sql",autre
220,Quality Analyst (Customer Field Engineer),TE Connectivity,Maroc,https://ma.linkedin.com/jobs/view/quality-analyst-customer-field-engineer-at-te-connectivity-4217431180?position=9&pageNum=32&refId=dY8ql3W6mnnhfz7amEvATw%3D%3D&trackingId=bZKUs51MibJ6vmiTXWu6hQ%3D%3D,,data analyst
