,Titre,Entreprise,Localisation,Lien,Compétences,mapped_role
15,Researchscientistin Complex Systems,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-scientist-in-complex-systems-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173768.html,python,autre
16,ResearchscientistindataScience & Machine Learning,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-scientist-in-data-science-machine-learning-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173769.html,"deep learning, machine learning, pandas, pytorch, scikit-learn, spark, tensorflow",data scientist
17,Researchscientistin Cyber-Physical Systems and Digital Twins,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-scientist-in-cyber-physical-systems-and-digital-twins-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173767.html,"c++, python",autre
18,datascientist& AI Engineer H/F,ALTEN Maroc,Fès,https://www.rekrute.com/offre-emploi-data-scientist-ai-engineer-hf-recrutement-alten-maroc-fes-173506.html,"deep learning, machine learning, matplotlib, pandas, power bi, python, pytorch, scikit-learn, tensorflow",data scientist
19,datascientist,UM6P - Université Mohammed VI Polytechnique,Benguerir,https://www.rekrute.com/offre-emploi-data-scientist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173311.html,"python, sql",data scientist
20,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir,https://www.rekrute.com/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r",autre
21,Dév pythondataAnalyst /scientist,BTechnologie,Rabat,https://www.rekrute.com/offre-emploi-dev-python-data-analyst-scientist-recrutement-btechnologie-rabat-173025.html,"agile, git, power bi, python, sql",data scientist
22,QA Program Manager,Cnexia tech,Fès,https://www.rekrute.com/offre-emploi-qa-program-manager-recrutement-cnexia-tech-fes-174274.html,agile,autre
23,Android Developer,Cnexia tech,Rabat,https://www.rekrute.com/offre-emploi-android-developer-recrutement-cnexia-tech-rabat-174272.html,"agile, git, graphql, java, scrum, sql",autre
24,Roku Smart TV Application Developer,Cnexia tech,Rabat,https://www.rekrute.com/offre-emploi-roku-smart-tv-application-developer-recrutement-cnexia-tech-rabat-174275.html,"agile, ci/cd, git, graphql, rest api, scrum",software engineer
25,Research Scientist in Digital Twins - Operational Technology,UM6P - Université Mohammed VI Polytechnique,Benguerir,https://www.rekrute.com/offre-emploi-research-scientist-in-digital-twins---operational-technology-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-174257.html,"aws, azure, google cloud, machine learning",autre
26,StagiairedataAnalyst /engineer,Orange Business,Rabat,https://www.rekrute.com/offre-emploi-stagiaire-data-analyst-engineer-recrutement-orange-business-rabat-174186.html,"deep learning, docker, excel, git, hadoop, keras, pandas, power bi, python, spark, sql, tensorflow",data analyst
27,dataengineerKPI BOOK,ALTEN Maroc,Fès,https://www.rekrute.com/offre-emploi-data-engineer-kpi-book-recrutement-alten-maroc-fes-174091.html,"excel, javascript, mongodb, python, react",data engineer
28,dataengineer,Orange Business,Rabat,https://www.rekrute.com/offre-emploi-data-engineer-recrutement-orange-business-rabat-174007.html,,data engineer
29,Géologue Spécialiste en Géologie Structurale,Aya Gold & Silver,Taliouine,https://www.rekrute.com/offre-emploi-geologue-specialiste-en-geologie-structurale-recrutement-aya-gold-silver-taliouine-173830.html,,autre
30,Project Management Business Partner,Capgemini Engineering,Casablanca,https://www.rekrute.com/offre-emploi-project-management-business-partner-recrutement-capgemini-engineering-casablanca-173806.html,power bi,autre
31,Senior Business Intelligence Consultant / BI Lead,Leyton,Casablanca,https://www.rekrute.com/offre-emploi-senior-business-intelligence-consultant-bi-lead-recrutement-leyton-casablanca-173535.html,"agile, excel, power bi, python, r, sql, tableau",autre
32,Research Scientist in Complex Systems,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-scientist-in-complex-systems-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173768.html,python,autre
33,Research Scientist indataScience & Machine Learning,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-scientist-in-data-science-machine-learning-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173769.html,"deep learning, machine learning, pandas, pytorch, scikit-learn, spark, tensorflow",data scientist
34,Research Scientist in Cyber-Physical Systems and Digital Twins,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-scientist-in-cyber-physical-systems-and-digital-twins-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173767.html,"c++, python",autre
35,Researchengineerin Industrial Systems and Smart Logistics,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-engineer-in-industrial-systems-and-smart-logistics-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173766.html,"python, r, sql",software engineer
36,Researchengineerin Sustainability Systems and Health-Environment Modeling,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-engineer-in-sustainability-systems-and-health-environment-modeling-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173764.html,"python, r",software engineer
37,Researchengineerin AI & Remote Sensing,UM6P - Université Mohammed VI Polytechnique,Rabat,https://www.rekrute.com/offre-emploi-research-engineer-in-ai-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173661.html,"deep learning, pytorch, tensorflow",autre
38,ExpertdataIKU,Capgemini Engineering,Casablanca,https://www.rekrute.com/offre-emploi-expert-dataiku-recrutement-capgemini-engineering-casablanca-173525.html,"pandas, power bi, python, scikit-learn, sql, tableau",autre
39,dataScientist & AIengineerH/F,ALTEN Maroc,Fès,https://www.rekrute.com/offre-emploi-data-scientist-ai-engineer-hf-recrutement-alten-maroc-fes-173506.html,"deep learning, machine learning, matplotlib, pandas, power bi, python, pytorch, scikit-learn, tensorflow",data scientist
40,engineerDeveloper (Machine Learning/AI &dataScience),UM6P - Université Mohammed VI Polytechnique,Benguerir,https://www.rekrute.com/offre-emploi-engineer-developer-machine-learningai-data-science-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173393.html,"machine learning, python",data scientist
41,dataScientist,UM6P - Université Mohammed VI Polytechnique,Benguerir,https://www.rekrute.com/offre-emploi-data-scientist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173311.html,"python, sql",data scientist
