Source,Rôle,Titre,Entreprise,Localisation,Lien,Compétences
rekrute,data engineer,dataScientist & AIengineerH/F,ALTEN Maroc,Fès (Maroc),/offre-emploi-data-scientist-ai-engineer-hf-recrutement-alten-maroc-fes-173506.html,"deep learning, machine learning, matplotlib, pandas, power bi, python, pytorch, scikit-learn, tensorflow"
rekrute,data engineer,engineerDeveloper (Machine Learning/AI &dataScience),UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-engineer-developer-machine-learningai-data-science-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173393.html,"machine learning, python"
rekrute,data engineer,dataScientist,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-data-scientist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173311.html,"python, sql"
rekrute,data engineer,Ingénieur Core Network Voix/data,Capgemini Engineering,Casablanca (Maroc),/offre-emploi-ingenieur-core-network-voixdata-recrutement-capgemini-engineering-casablanca-173251.html,
rekrute,data engineer,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r"
rekrute,data engineer,Développeur IA / Machine Learningengineer(H/F),Its Provider,Casablanca (Maroc),/offre-emploi-developpeur-ia-machine-learning-engineer-hf-recrutement-its-provider-casablanca-172592.html,"ci/cd, machine learning, nlp, python, pytorch"
rekrute,data engineer,dataengineer(H/F),Sofrecom Maroc,Casablanca (Maroc),/offre-emploi-data-engineer-hf-recrutement-sofrecom-maroc-casablanca-172966.html,"agile, google cloud, machine learning, python"
rekrute,web developer,Androiddeveloper,Cnexia tech,Rabat (Maroc),/offre-emploi-android-developer-recrutement-cnexia-tech-rabat-174272.html,"agile, git, graphql, java, scrum, sql"
rekrute,web developer,ServiceNowdeveloper,Inetum,Casablanca (Maroc),/offre-emploi-servicenow-developer-recrutement-inetum-casablanca-173096.html,javascript
rekrute,web developer,Développeur ServiceNow,ALTEN Maroc,Rabat (Maroc),/offre-emploi-developpeur-servicenow-recrutement-alten-maroc-rabat-172420.html,"agile, ci/cd, javascript"
rekrute,software engineer,QA Program Manager,Cnexia tech,Fes (Maroc),/offre-emploi-qa-program-manager-recrutement-cnexia-tech-fes-174274.html,agile
rekrute,software engineer,Géologue Spécialiste en Géologie Structurale,Aya Gold & Silver,Taliouine (Maroc),/offre-emploi-geologue-specialiste-en-geologie-structurale-recrutement-aya-gold-silver-taliouine-173830.html,
rekrute,software engineer,Senior Automationsoftwareengineer,Leyton,Casablanca (Maroc),/offre-emploi-senior-automation-software-engineer-recrutement-leyton-casablanca-173539.html,"azure, ci/cd, git, nlp, python"
rekrute,software engineer,Automationsoftwareengineer- AI specialization,Leyton,Casablanca (Maroc),/offre-emploi-automation-software-engineer---ai-specialization-recrutement-leyton-casablanca-173540.html,"azure, ci/cd, git, nlp, pandas, python, scikit-learn"
rekrute,software engineer,Research Scientist in Cyber-Physical Systems and Digital Twins,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-scientist-in-cyber-physical-systems-and-digital-twins-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173767.html,"c++, python"
rekrute,software engineer,Researchengineerin Systemsengineering,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-systems-engineering-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173765.html,
rekrute,software engineer,Researchengineerin Industrial Systems and Smart Logistics,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-industrial-systems-and-smart-logistics-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173766.html,"python, r, sql"
rekrute,software engineer,Researchengineerin Sustainability Systems and Health-Environment Modeling,UM6P - Université Mohammed VI Polytechnique,Rabat (Maroc),/offre-emploi-research-engineer-in-sustainability-systems-and-health-environment-modeling-recrutement-um6p---universite-mohammed-vi-polytechnique-rabat-173764.html,"python, r"
rekrute,software engineer,Mobile Coreengineer,Orange Business,Rabat (Maroc),/offre-emploi-mobile-core-engineer-recrutement-orange-business-rabat-173756.html,
rekrute,software engineer,Architecte core mobile,Orange Business,Rabat (Maroc),/offre-emploi-architecte-core-mobile-recrutement-orange-business-rabat-173755.html,
rekrute,software engineer,Project Manager Core Mobile,Orange Business,Rabat (Maroc),/offre-emploi-project-manager-core-mobile-recrutement-orange-business-rabat-172470.html,
rekrute,software engineer,Requirementengineer- garmanophone,ALTEN Maroc,Rabat (Maroc),/offre-emploi-requirement-engineer---garmanophone-recrutement-alten-maroc-rabat-173558.html,
rekrute,software engineer,Purchaser,Al Akhawayn University,Ifrane (Maroc),/offre-emploi-purchaser-recrutement-al-akhawayn-university-ifrane-173492.html,
rekrute,software engineer,engineerDeveloper (Machine Learning/AI & Data Science),UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-engineer-developer-machine-learningai-data-science-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173393.html,"machine learning, python"
rekrute,software engineer,Project Management Officer,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-project-management-officer-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173312.html,
rekrute,software engineer,Data Scientist,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-data-scientist-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173311.html,"python, sql"
rekrute,software engineer,Field Technician for remote sensing,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-field-technician-for-remote-sensing-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-173139.html,"python, r"
rekrute,software engineer,Vehicle Testengineer(H/F),ALTEN Maroc,Rabat (Maroc),/offre-emploi-vehicle-test-engineer-hf-recrutement-alten-maroc-rabat-173005.html,"agile, excel, scrum"
rekrute,software engineer,"Senior Scientist in Mechanicalengineering and Energy Systems  ACER-CoE (UM6P, Benguerir)",UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-senior-scientist-in-mechanical-engineering-and-energy-systems-acer-coe-um6p-benguerir-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-172677.html,
rekrute,software engineer,Researchengineerin Geophysics and soil mapping,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-research-engineer-in-geophysics-and-soil-mapping-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-172671.html,
rekrute,software engineer,CoreLabengineer,UM6P - Université Mohammed VI Polytechnique,Benguerir (Maroc),/offre-emploi-corelab-engineer-recrutement-um6p---universite-mohammed-vi-polytechnique-benguerir-172665.html,excel
rekrute,software engineer,Submit Your Spontaneous Application and Join Stellantis !,Stellantis,Casablanca (Maroc),/offre-emploi-submit-your-spontaneous-application-and-join-stellantis-recrutement-stellantis-casablanca-168605.html,
