Source,Rôle,Titre,Entreprise,Localisation,Lien,Compétences
LinkedIn,data engineer,Data Analyst - Sénior,ALTEN,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/data-analyst-s%C3%A9nior-at-alten-4271585749?position=8&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=TU0EOL3ZhPeBJ9zxo4taQg%3D%3D,"agile, bigquery, ci/cd, dbt, gitlab, looker, mongodb, nosql, postgresql, python, scrum, sql"
LinkedIn,data engineer,Quant Analyst / Quant Developer / Data Scientist: Graduate Programme 2025,Phi Partners,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/quant-analyst-quant-developer-data-scientist-graduate-programme-2025-at-phi-partners-4180620268?position=9&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=fF%2FnnlpdMhmpY16MRVIKHg%3D%3D,"design patterns, python, sql"
LinkedIn,data engineer,Consulting Data Manager Maroc,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/consulting-data-manager-maroc-at-artefact-4127592008?position=10&pageNum=7&refId=WbK%2FbUr%2FAXv1iCk9ugU3RQ%3D%3D&trackingId=1m8FnptUuUE%2F3YwXZ1r74g%3D%3D,agile
LinkedIn,data engineer,Full Stack Software Engineer,WaystoCap,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/full-stack-software-engineer-at-waystocap-4119520877?position=1&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=WdKyzYdjkj%2Bu3Fp%2FYjUD6Q%3D%3D,"agile, ci/cd, graphql, java, javascript, next.js, nosql"
LinkedIn,data engineer,Senior Power BI Developer,AXA Global Business Services (AXA GBS),"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/senior-power-bi-developer-at-axa-global-business-services-axa-gbs-4273599825?position=2&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=SmQmhoB9j6jacAdU4haX2A%3D%3D,"agile, etl, excel, power bi, sql"
LinkedIn,data engineer,Senior Big Data Engineer,Leyton CognitX,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/senior-big-data-engineer-at-leyton-cognitx-4274090061?position=3&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=glU%2FaHPY5Er0w6n%2FHFEYsw%3D%3D,"airflow, angular, docker, elasticsearch, kafka, mongodb, python, react, spark, sql, vue.js"
LinkedIn,data engineer,.NET Software Engineer,Myfactory,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/net-software-engineer-at-myfactory-international-gmbh-4275441663?position=4&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=w3OSej8pYexdQXAjpm3K8g%3D%3D,"azure, c#, design patterns, git, sql"
LinkedIn,data engineer,Développeur & Analyst Power BI,SQLI,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/d%C3%A9veloppeur-analyst-power-bi-at-sqli-4270305935?position=5&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=59%2FNXt7bXut8qeMc0jkekA%3D%3D,"agile, etl, gcp, power bi, sql"
LinkedIn,data engineer,Senior software engineer,Effyis Group,Casablanca et périphérie,https://ma.linkedin.com/jobs/view/senior-software-engineer-at-effyis-group-4282136212?position=6&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=cnpA%2B6TDLrWPOL2eF9rbnQ%3D%3D,"agile, java, microservices, postgresql, spring boot"
LinkedIn,data engineer,Senior Data Consultant,Artefact,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/senior-data-consultant-at-artefact-3776222664?position=7&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=OiGlaOC%2BoxPs%2FdjhQzIsCQ%3D%3D,
LinkedIn,data engineer,Software Engineer - X Delivery,Boston Consulting Group (BCG),"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/software-engineer-x-delivery-at-boston-consulting-group-bcg-4205210893?position=8&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=zelx12FcoxRoqo9%2FqEI2mA%3D%3D,"agile, angular, aws, azure, c#, ci/cd, design patterns, django, docker, flask, gcp, git, java, javascript, kubernetes, microservices, mongodb, nosql, python, react, spark, sql, terraform, typescript"
LinkedIn,data engineer,AD Software Engineer - Senior H/F,Stellantis,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/ad-software-engineer-senior-h-f-at-stellantis-3543041874?position=9&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=wEihT55%2BsI1%2FMcBTuL4DIQ%3D%3D,"agile, c++, git, github, linux, python"
LinkedIn,data engineer,.NET Software Engineer,Abas Ibérica,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/net-software-engineer-at-abas-ib%C3%A9rica-4271988847?position=10&pageNum=10&refId=vPrS7IAmyKJPpSds9LSGdg%3D%3D&trackingId=hON3iRtyj4N2VtvP2WI%2FDQ%3D%3D,"agile, c#, css, html, javascript, sql"
LinkedIn,data engineer,Data Engineer Expérimenté,ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/data-engineer-exp%C3%A9riment%C3%A9-at-alten-maroc-4269624437?position=1&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=g8JD1KnsIZv7rmOr0%2BXw4Q%3D%3D,"bigquery, ci/cd, dbt, gcp, git, looker, scrum"
LinkedIn,data engineer,Consultant données/Consultante données,ALTEN MAROC,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/consultant-donn%C3%A9es-consultante-donn%C3%A9es-at-alten-maroc-4280135537?position=2&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=9kjqha0yNBNMIi1AF8VZ8w%3D%3D,"ci/cd, data pipeline, gcp, gitlab, google cloud, kubernetes, postgresql, python, scrum, terraform"
LinkedIn,data engineer,Mainframe MVS Software Engineer,PartnerOne,Maroc,https://ma.linkedin.com/jobs/view/mainframe-mvs-software-engineer-at-partnerone-4279012066?position=3&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=dhzzkPsQ1DFLT%2FxGC5OcjA%3D%3D,"kubernetes, linux"
LinkedIn,data engineer,Tech Lead SQL/Python | Devoteam Maroc Nearshore,Devoteam,"Rabat, Rabat-Salé-Kénitra, Maroc",https://ma.linkedin.com/jobs/view/tech-lead-sql-python-devoteam-maroc-nearshore-at-devoteam-4238436652?position=4&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=7rgCS%2B8BzrMFn2o3KmT03Q%3D%3D,"bigquery, ci/cd, dbt, gcp, git, kubernetes, looker, python, scrum, sql"
LinkedIn,data engineer,Expert Data scientist,BROME Consulting & Technology,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/expert-data-scientist-at-brome-consulting-technology-4200186502?position=5&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=ZGHPb%2F5YrouyPKK%2FYCKuDw%3D%3D,
LinkedIn,data engineer,Data Analytics - Data Science Team Lead - Casablanca,Infomineo,"arrondissement d'Anfa, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/data-analytics-data-science-team-lead-casablanca-at-infomineo-4248019105?position=6&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=iZDzt6TBSTGfDO%2FpKsDSAQ%3D%3D,"aws, azure, docker, etl, google cloud, hadoop, ibm cloud, javascript, kafka, kubernetes, looker, machine learning, mongodb, nosql, power bi, python, r, snowflake, spark, sql, tableau"
LinkedIn,data engineer,Backend Developer - French Speakers,SSC HR Solutions,"Marrakech, Marrakech-Safi, Maroc",https://ma.linkedin.com/jobs/view/backend-developer-french-speakers-at-ssc-hr-solutions-4282118912?position=7&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=CkaP%2Bud9f6bwAInRpVTcLQ%3D%3D,"agile, bdd, django, docker, elasticsearch, git, gitlab, grpc, linux, python"
LinkedIn,data engineer,Software Engineer Java,Société Générale,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/software-engineer-java-at-societe-generale-4195537608?position=8&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=0fHOjDwGRUQS1s7XMcEwQg%3D%3D,"agile, angular, docker, java, jenkins, kafka, kubernetes, oracle, postgresql, spark, spring boot, sql"
LinkedIn,data engineer,Software Vérification Engineer,Dedalus,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/software-v%C3%A9rification-engineer-at-dedalus-4269644827?position=9&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=zxKSuJWYeT3ItVM%2FhXmbow%3D%3D,"bdd, ci/cd, javascript, typescript"
LinkedIn,data engineer,Datascientist,CIH BANK,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/datascientist-at-cih-bank-3659272624?position=10&pageNum=12&refId=MiisKHRK7zqh0nJplg3VOw%3D%3D&trackingId=Z%2F7FCET9h6c9c1CargGXJA%3D%3D,
LinkedIn,data engineer,Quantitative Risk Analyst / Data Analyst,CIH BANK,"Casablanca, Casablanca-Settat, Maroc",https://ma.linkedin.com/jobs/view/quantitative-risk-analyst-data-analyst-at-cih-bank-3980071335?position=1&pageNum=15&refId=JFmpmOSgnHLNdOZVIeBaAg%3D%3D&trackingId=2WrBNja9N7Cokc3UbciW8Q%3D%3D,
